date,Petr Pavel,Andrej Babiš,Danuše Nerudová,Petr Fiala,Vít Rakušan,Miloš Vystrčil,Pavel Fischer,Ivan Bartoš,Filip Turek,Markéta Pekarová Adamová,Martin Stropnický,Marek Hilšer,Klára Laurenčíková,Lenka Bradáčová,Josef Středula,Jaromír Jágr,Tomio Okamura,Adéla Šípová,Miroslava Němcová,Alena Schillerová,Karel Havlíček,Věra Jourová
22. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
23. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
24. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
25. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
26. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
27. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
28. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
29. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
30. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
31. 5. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
1. 6. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
2. 6. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
3. 6. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
4. 6. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
5. 6. 23,45.9,3.7,6.1,13.1,6.1,3.7,3.1,2.3,0.3,1.7,1.7,1.8,,1.5,1.4,1.4,1.4,,1.1,1.1,1.1,1.1
