date,Pavel Petr,Nerudová Danuše,Babiš Andrej
29. 3. 22,45.5,8.1,29.1
30. 3. 22,45.5,8.1,29.1
31. 3. 22,45.5,8.1,29.1
1. 4. 22,45.5,8.1,29.1
2. 4. 22,45.5,8.1,29.1
3. 4. 22,45.5,8.1,29.1
4. 4. 22,45.5,7.8,29.1
5. 4. 22,45.5,7.8,29.1
6. 4. 22,45.5,7.8,29.1
7. 4. 22,45.5,7.8,29.1
8. 4. 22,45.5,7.8,29.1
9. 4. 22,45.5,7.8,29.1
10. 4. 22,45.5,7.8,29.1
11. 4. 22,45.5,7.8,29.1
12. 4. 22,45.5,7.8,29.1
13. 4. 22,45.5,7.8,29.1
14. 4. 22,45.5,7.8,29.1
15. 4. 22,45.5,7.8,29.1
16. 4. 22,45.5,7.8,29.1
17. 4. 22,45.5,7.8,29.1
18. 4. 22,45.5,7.8,29.1
19. 4. 22,45.5,7.8,29.1
20. 4. 22,45.5,7.8,29.1
21. 4. 22,45.5,7.8,29.1
22. 4. 22,44.9,7.8,29.4
23. 4. 22,44.4,7.8,29.6
24. 4. 22,44.4,7.8,29.6
25. 4. 22,44.4,7.8,29.6
26. 4. 22,44.4,7.8,29.6
27. 4. 22,44.4,7.8,29.6
28. 4. 22,44.4,7.8,29.6
29. 4. 22,44.4,7.8,29.6
30. 4. 22,43.4,7.8,29.6
1. 5. 22,41.0,6.9,29.6
2. 5. 22,38.8,6.2,29.6
3. 5. 22,38.8,6.2,29.6
4. 5. 22,38.8,6.2,29.6
5. 5. 22,38.4,6.2,29.6
6. 5. 22,38.0,6.2,29.6
7. 5. 22,38.0,6.2,29.6
8. 5. 22,37.7,6.2,29.6
9. 5. 22,37.3,6.2,29.6
10. 5. 22,37.3,6.2,29.6
11. 5. 22,37.3,6.2,29.6
12. 5. 22,37.3,6.2,29.6
13. 5. 22,37.3,6.2,29.6
14. 5. 22,37.3,6.2,29.6
15. 5. 22,37.3,6.2,29.6
16. 5. 22,36.9,6.2,29.6
17. 5. 22,36.6,6.2,29.6
18. 5. 22,36.6,6.2,29.6
19. 5. 22,36.6,6.2,29.6
20. 5. 22,36.6,6.2,29.6
21. 5. 22,36.6,6.2,29.6
22. 5. 22,36.6,6.2,29.6
23. 5. 22,36.6,6.2,29.6
24. 5. 22,36.6,6.2,29.6
25. 5. 22,36.6,6.2,29.6
26. 5. 22,36.6,6.2,29.6
27. 5. 22,36.6,6.2,29.6
28. 5. 22,36.6,6.2,29.6
29. 5. 22,35.8,6.2,31.1
30. 5. 22,35.8,6.2,31.1
31. 5. 22,35.8,6.2,31.1
1. 6. 22,34.5,9.3,32.1
2. 6. 22,34.5,9.3,32.1
3. 6. 22,33.3,9.1,34.8
4. 6. 22,31.9,8.9,38.4
5. 6. 22,31.3,8.5,40.1
6. 6. 22,31.1,8.1,41.4
7. 6. 22,31.1,8.5,41.4
8. 6. 22,31.1,8.5,41.4
9. 6. 22,31.1,8.5,41.4
10. 6. 22,31.1,8.5,41.4
11. 6. 22,31.1,8.5,41.4
12. 6. 22,31.1,8.9,41.4
13. 6. 22,31.1,9.3,41.4
14. 6. 22,31.1,9.3,41.9
15. 6. 22,31.1,9.3,42.4
16. 6. 22,31.1,9.3,42.4
17. 6. 22,31.1,9.3,42.4
18. 6. 22,31.1,9.3,42.4
19. 6. 22,31.1,9.3,42.4
20. 6. 22,31.1,9.3,42.4
21. 6. 22,31.1,9.3,42.4
22. 6. 22,31.1,9.3,42.4
23. 6. 22,31.1,9.3,42.4
24. 6. 22,33.3,9.3,41.4
25. 6. 22,35.2,9.3,39.7
26. 6. 22,34.5,9.3,38.8
27. 6. 22,34.8,9.3,38.8
28. 6. 22,35.8,9.3,38.8
29. 6. 22,35.8,9.3,38.8
30. 6. 22,35.8,9.3,38.8
1. 7. 22,35.8,9.3,38.8
2. 7. 22,35.8,9.3,38.8
3. 7. 22,35.8,9.3,38.8
4. 7. 22,35.8,9.3,38.8
5. 7. 22,35.8,9.3,38.8
6. 7. 22,36.2,9.3,38.8
7. 7. 22,36.6,9.3,38.8
8. 7. 22,36.6,9.3,38.8
9. 7. 22,36.6,9.3,38.8
10. 7. 22,36.6,9.3,38.8
11. 7. 22,36.6,9.3,38.8
12. 7. 22,36.6,9.3,38.8
13. 7. 22,36.6,9.3,38.8
14. 7. 22,36.6,9.3,38.8
15. 7. 22,36.6,9.3,38.8
16. 7. 22,36.6,9.3,38.8
17. 7. 22,36.6,9.3,38.8
18. 7. 22,36.6,9.3,38.8
19. 7. 22,36.6,9.3,38.8
20. 7. 22,36.6,9.3,38.8
21. 7. 22,36.6,9.3,38.8
22. 7. 22,36.6,10.4,38.8
23. 7. 22,36.2,12.4,38.8
24. 7. 22,35.8,13.3,38.8
25. 7. 22,35.8,13.3,38.8
26. 7. 22,35.8,13.3,38.8
27. 7. 22,35.8,13.3,38.8
28. 7. 22,35.8,13.3,38.8
29. 7. 22,35.8,13.3,38.8
30. 7. 22,35.8,13.3,38.8
31. 7. 22,35.8,13.3,38.8
1. 8. 22,35.8,13.3,38.8
2. 8. 22,35.8,13.3,38.8
3. 8. 22,35.8,13.3,38.8
4. 8. 22,35.8,13.3,38.8
5. 8. 22,35.8,13.3,38.8
6. 8. 22,35.8,13.3,38.8
7. 8. 22,35.8,13.3,38.8
8. 8. 22,35.8,14.3,38.8
9. 8. 22,35.8,14.3,38.8
10. 8. 22,36.6,14.9,38.4
11. 8. 22,38.4,15.5,37.7
12. 8. 22,39.7,15.5,37.3
13. 8. 22,40.1,16.4,37.3
14. 8. 22,40.5,17.3,37.3
15. 8. 22,40.5,17.3,37.3
16. 8. 22,40.5,17.9,36.9
17. 8. 22,40.5,19.0,36.9
18. 8. 22,40.5,19.4,37.3
19. 8. 22,46.0,19.2,33.6
20. 8. 22,46.0,19.2,33.0
21. 8. 22,46.6,19.5,32.7
22. 8. 22,46.6,19.6,32.7
23. 8. 22,46.6,19.6,32.7
24. 8. 22,46.6,19.6,32.7
25. 8. 22,46.6,19.6,32.7
26. 8. 22,46.6,19.6,31.9
27. 8. 22,46.6,19.6,31.1
28. 8. 22,46.6,19.6,31.1
29. 8. 22,46.6,19.6,30.6
30. 8. 22,46.6,19.6,30.1
31. 8. 22,46.6,19.6,30.1
1. 9. 22,46.6,19.6,30.1
2. 9. 22,46.6,19.6,30.1
3. 9. 22,46.6,19.6,30.1
4. 9. 22,46.6,19.6,30.1
5. 9. 22,46.6,19.6,30.1
6. 9. 22,46.6,19.6,30.1
7. 9. 22,46.6,19.6,30.1
8. 9. 22,46.6,19.6,30.1
9. 9. 22,46.6,19.6,30.1
10. 9. 22,46.6,19.6,30.1
11. 9. 22,46.6,19.6,30.1
12. 9. 22,46.6,19.6,30.1
13. 9. 22,46.6,19.6,30.1
14. 9. 22,46.6,19.1,29.1
15. 9. 22,46.6,18.6,28.2
16. 9. 22,46.6,19.6,25.5
17. 9. 22,46.6,20.7,23.3
18. 9. 22,46.6,20.7,23.3
19. 9. 22,46.6,20.7,23.3
20. 9. 22,46.6,20.7,23.3
21. 9. 22,46.6,20.7,23.3
22. 9. 22,46.6,20.7,23.3
23. 9. 22,46.6,20.7,23.3
24. 9. 22,46.6,20.7,23.3
25. 9. 22,46.6,20.7,23.3
26. 9. 22,46.6,20.7,23.3
27. 9. 22,46.6,20.7,23.3
28. 9. 22,46.6,20.7,23.3
29. 9. 22,46.6,20.7,23.3
30. 9. 22,46.6,20.7,23.3
1. 10. 22,46.6,20.7,21.9
2. 10. 22,46.6,20.7,20.7
3. 10. 22,46.6,20.7,20.7
4. 10. 22,45.5,21.4,21.1
5. 10. 22,44.9,22.2,20.7
6. 10. 22,45.5,22.2,20.7
7. 10. 22,44.4,21.2,20.7
8. 10. 22,44.4,20.7,20.7
9. 10. 22,44.4,20.7,19.8
10. 10. 22,44.4,21.9,19.2
11. 10. 22,44.4,23.3,18.6
12. 10. 22,44.4,23.3,18.6
13. 10. 22,46.0,23.9,16.9
14. 10. 22,47.8,24.5,15.5
15. 10. 22,47.8,24.5,15.5
16. 10. 22,47.8,24.5,15.5
17. 10. 22,47.8,24.5,15.5
18. 10. 22,49.7,24.2,15.5
19. 10. 22,51.8,25.9,13.8
20. 10. 22,53.3,28.2,12.4
21. 10. 22,54.8,28.2,12.4
22. 10. 22,54.8,28.2,12.4
23. 10. 22,54.8,28.2,12.4
31. 10. 22,49.1,24.1,27.4
1. 11. 22,48.4,23.3,28.9
2. 11. 22,47.8,23.3,29.6
4. 11. 22,47.8,23.3,29.6
5. 11. 22,49.1,22.7,27.4
6. 11. 22,49.1,22.7,27.4
7. 11. 22,48.4,23.0,27.4
8. 11. 22,45.5,24.2,27.0
9. 11. 22,42.4,26.6,26.6
10. 11. 22,44.4,26.6,26.6
11. 11. 22,44.4,26.6,26.6
12. 11. 22,44.4,26.6,26.6
13. 11. 22,44.4,26.6,26.6
14. 11. 22,44.4,26.6,26.6
15. 11. 22,44.4,26.6,26.6
16. 11. 22,44.4,26.6,26.6
17. 11. 22,44.4,27.0,26.3
18. 11. 22,44.4,27.0,26.3
19. 11. 22,44.4,27.0,26.3
20. 11. 22,44.4,27.0,26.3
21. 11. 22,44.4,27.0,26.3
22. 11. 22,44.4,27.0,26.3
23. 11. 22,44.4,27.2,26.3
24. 11. 22,44.9,27.4,26.1
25. 11. 22,46.0,27.8,26.3
26. 11. 22,46.6,27.4,26.6
27. 11. 22,46.6,28.2,26.6
28. 11. 22,41.4,30.1,30.1
29. 11. 22,41.4,30.1,30.1
30. 11. 22,41.4,30.1,30.1
1. 12. 22,41.4,30.1,30.1
2. 12. 22,41.4,30.1,30.1
5. 12. 22,37.3,34.5,30.6
6. 12. 22,36.9,35.2,30.6
7. 12. 22,36.6,35.8,30.6
8. 12. 22,36.6,35.8,30.6
9. 12. 22,33.6,40.1,28.0
10. 12. 22,31.1,45.5,25.2
11. 12. 22,31.1,45.5,25.2
12. 12. 22,31.1,45.5,25.2
13. 12. 22,31.1,45.5,25.2
14. 12. 22,31.1,45.5,25.2
15. 12. 22,32.1,44.4,25.2
16. 12. 22,31.1,45.5,25.2
17. 12. 22,31.1,46.6,24.5
18. 12. 22,30.6,46.6,24.5
19. 12. 22,32.7,44.4,24.5
20. 12. 22,33.9,42.4,24.5
21. 12. 22,35.8,40.5,23.9
22. 12. 22,38.8,38.8,23.3
23. 12. 22,38.8,38.8,23.3
24. 12. 22,38.8,38.8,23.3
25. 12. 22,38.8,38.8,23.3
26. 12. 22,38.8,38.8,23.3
27. 12. 22,38.8,38.8,23.3
28. 12. 22,38.8,38.8,23.3
29. 12. 22,38.8,38.8,23.3
30. 12. 22,38.8,38.8,23.3
31. 12. 22,40.5,37.3,22.2
