party,region_code,votes,rate
Zelení,pr,6058,0.113566915996476
Zelení,st,6847,0.128357985115198
Zelení,jc,3342,0.062651144480063
Zelení,pl,2902,0.0544026395215867
Zelení,ka,1446,0.0271075867499016
Zelení,us,4853,0.0909772603715576
Zelení,li,2744,0.0514406763774066
Zelení,kr,3185,0.0597079279380612
Zelení,pa,2719,0.0509720113229477
Zelení,vy,2299,0.0430984384080385
Zelení,jm,5590,0.104793506177005
Zelení,ol,2906,0.0544776259303001
Zelení,zl,2764,0.0518156084209737
Zelení,mo,5688,0.106630673190484
SPD,pr,28859,0.0561557471152536
SPD,st,55105,0.107226946352474
SPD,jc,30183,0.0587320737094044
SPD,pl,28874,0.0561849351053686
SPD,ka,16629,0.0323578058414898
SPD,us,44774,0.0871242046272694
SPD,li,24384,0.0474479967309451
SPD,kr,26661,0.0518787336304022
SPD,pa,25673,0.0499562180148275
SPD,vy,24729,0.0481193205035901
SPD,jm,58427,0.113691113229943
SPD,ol,39759,0.0773656865988208
SPD,zl,35662,0.0693934735654103
SPD,mo,74191,0.144365744974801
SOCDEM,pr,25116,0.100304716110816
SOCDEM,st,32245,0.128775504498856
SOCDEM,jc,18304,0.0730999173312779
SOCDEM,pl,14466,0.0577722576548441
SOCDEM,ka,4930,0.0196887342899476
SOCDEM,us,12062,0.0481715036522003
SOCDEM,li,7725,0.0308510085983458
SOCDEM,kr,14534,0.058043826403671
SOCDEM,pa,13843,0.0552842086766215
SOCDEM,vy,18168,0.0725567798336242
SOCDEM,jm,27555,0.110045248145944
SOCDEM,ol,14742,0.0588745072824355
SOCDEM,zl,15338,0.0612547274927415
SOCDEM,mo,31369,0.125277060028674
Přísaha,pr,21418,0.0851400449988472
Přísaha,st,32427,0.128902616452405
Přísaha,jc,15165,0.0602833496315024
Přísaha,pl,13695,0.054439859756243
Přísaha,ka,6447,0.0256278770243518
Přísaha,us,16452,0.0653993846447397
Přísaha,li,9524,0.0378594541305921
Přísaha,kr,13930,0.0553740231036484
Přísaha,pa,13569,0.0539389891955065
Přísaha,vy,14504,0.0576557667692259
Přísaha,jm,37740,0.150022658430129
Přísaha,ol,15257,0.0606490646441036
Přísaha,zl,13270,0.0527504154045524
Přísaha,mo,28164,0.111956495814153
SPOLU,pr,251090,0.1680762832978
SPOLU,st,203091,0.135946395520465
SPOLU,jc,97698,0.0653977327875601
SPOLU,pl,76994,0.0515387524641795
SPOLU,ka,26355,0.0176416840428274
SPOLU,us,74565,0.0499128123943624
SPOLU,li,50464,0.0337799257650252
SPOLU,kr,84166,0.0563395932137586
SPOLU,pa,78163,0.052321265408443
SPOLU,vy,77631,0.0519651517332093
SPOLU,jm,187497,0.125507980761829
SPOLU,ol,79715,0.0533601534234105
SPOLU,zl,87019,0.0582493532051904
SPOLU,mo,119457,0.07996291598194
Piráti+STAN,pr,142100,0.169211789810616
Piráti+STAN,st,137532,0.163772244026979
Piráti+STAN,jc,45357,0.0540108314598179
Piráti+STAN,pl,40210,0.0478818161033418
Piráti+STAN,ka,18546,0.0220844606180696
Piráti+STAN,us,52797,0.0628703368517319
Piráti+STAN,li,47350,0.0563840833746142
Piráti+STAN,kr,44551,0.0530510517090272
Piráti+STAN,pa,38628,0.0459979804138246
Piráti+STAN,vy,37451,0.0445964161871737
Piráti+STAN,jm,88601,0.105505515756583
Piráti+STAN,ol,40124,0.0477794078420912
Piráti+STAN,zl,42117,0.0501526597568876
Piráti+STAN,mo,64412,0.0767014060892429
ANO,pr,109588,0.075156020683885
ANO,st,176100,0.120770296405009
ANO,jc,89509,0.0613857379949799
ANO,pl,84107,0.0576810182835667
ANO,ka,43081,0.0295451739887802
ANO,us,134322,0.0921187265968974
ANO,li,59515,0.0408156967095066
ANO,kr,79463,0.0544961389167021
ANO,pa,73556,0.0504450875773245
ANO,vy,74113,0.0508270810758912
ANO,jm,158362,0.10860548369841
ANO,ol,96714,0.0663269644890065
ANO,zl,84534,0.0579738571056277
ANO,mo,195176,0.133852716474413
KSČM,pr,13469,0.0694933880928918
KSČM,st,24618,0.127016721959374
KSČM,jc,14974,0.0772584448216617
KSČM,pl,11997,0.0618985950664802
KSČM,ka,4454,0.0229804403122533
KSČM,us,14804,0.0763813287792093
KSČM,li,6671,0.0344190654070592
KSČM,kr,10150,0.0523689872405413
KSČM,pa,10461,0.0539735936476161
KSČM,vy,12959,0.0668620399655345
KSČM,jm,22825,0.117765727464567
KSČM,ol,12914,0.0666298621895912
KSČM,zl,10426,0.0537930109329935
KSČM,mo,23095,0.119158794120227
KDU-ČSL,pr,35582.3771942621,0.0929910225436288
KDU-ČSL,st,27493.5840076639,0.0718517617949963
KDU-ČSL,jc,23067.5833333333,0.0602848469079504
KDU-ČSL,pl,13195.1216194274,0.0344841449259877
KDU-ČSL,ka,4183.21825484155,0.0109324270527833
KDU-ČSL,us,9018.15544808528,0.023568057074896
KDU-ČSL,li,6268.97392309916,0.0163833431427494
KDU-ČSL,kr,21822.30290879,0.0570304297171135
KDU-ČSL,pa,24228.3823622657,0.0633184803293139
KDU-ČSL,vy,31201.6335798303,0.0815423825052342
KDU-ČSL,jm,66306.2535856399,0.173284833902556
KDU-ČSL,ol,32251.9744177106,0.0842873443721881
KDU-ČSL,zl,41320.0800412278,0.10798594128888
KDU-ČSL,mo,46703.5029409163,0.122054984441723
TOP 09,pr,94410.572574763,0.267572356042041
TOP 09,st,57737.21634292,0.163635094956662
TOP 09,jc,22700.8490990991,0.0643372824880471
TOP 09,pl,18190.3482057481,0.0515539117484201
TOP 09,ka,6517.70053917254,0.0184720465270122
TOP 09,us,18157.0043426767,0.0514594107221235
TOP 09,li,12874.9580803701,0.0364893758564919
TOP 09,kr,19162.4837375088,0.0543090755773376
TOP 09,pa,14956.3694518811,0.0423883777307457
TOP 09,vy,13052.1589657055,0.0369915871776275
TOP 09,jm,33384.9314083812,0.0946174195286088
TOP 09,ol,12645.6547752539,0.0358394992174156
TOP 09,zl,10373.3292434982,0.0293994207426781
TOP 09,mo,18677.7031443481,0.0529351416847884
ODS,pr,121097.050230975,0.159670048503111
ODS,st,117860.199649416,0.155402165112318
ODS,jc,51929.5675675676,0.0684706733685428
ODS,pl,45608.5301748245,0.0601361982912044
ODS,ka,15654.0812059859,0.0206403698575977
ODS,us,47389.8402092381,0.0624849083469109
ODS,li,31320.0679965308,0.0412964375811663
ODS,kr,43181.2133537012,0.0569357091478112
ODS,pa,38978.2481858532,0.0513939750516695
ODS,vy,33377.2074544642,0.0440088369038534
ODS,jm,87805.8150059789,0.115774568530933
ODS,ol,34817.3708070355,0.0459077349523101
ODS,zl,35325.5907152741,0.046577837958485
ODS,mo,54075.7939147355,0.0713005363940859
STAN,pr,31721.4063966501,0.117221215271156
STAN,st,55110.6956293221,0.20365246847284
STAN,jc,13761.1563117407,0.0508520790732955
STAN,pl,13124.1871177039,0.0484982646780052
STAN,ka,6394.04487898702,0.0236281362131638
STAN,us,16111.7113614371,0.059538166822427
STAN,li,25040.6406129663,0.0925335493362666
STAN,kr,14323.8594614199,0.0529314555743723
STAN,pa,12413.7631559211,0.045873010327154
STAN,vy,11285.3523582505,0.0417031546979909
STAN,jm,25262.8736379637,0.0933547747553997
STAN,ol,13782.3174402428,0.0509302765267283
STAN,zl,17204.7649368263,0.0635773656795476
STAN,mo,15074.7053759265,0.0557060825716525
Piráti,pr,110378.59360335,0.193930910075809
Piráti,st,82421.3043706779,0.144811036673289
Piráti,jc,31595.8436882593,0.0555126725304748
Piráti,pl,27085.8128822961,0.0475887232381564
Piráti,ka,12151.955121013,0.0213505140705735
Piráti,us,36685.2886385629,0.0644546300130999
Piráti,li,22309.3593870337,0.0391966796087573
Piráti,kr,30227.1405385801,0.0531079141549989
Piráti,pa,26214.2368440789,0.0460573979261204
Piráti,vy,26165.6476417495,0.0459720285812141
Piráti,jm,63338.1263620363,0.111282632681719
Piráti,ol,26341.6825597572,0.0462813151080658
Piráti,zl,24912.2350631737,0.0437698312698661
Piráti,mo,49337.2946240735,0.0866837140678562
Přísaha+Motor,pr,21418,0.0851400449988472
Přísaha+Motor,st,32427,0.128902616452405
Přísaha+Motor,jc,15165,0.0602833496315024
Přísaha+Motor,pl,13695,0.054439859756243
Přísaha+Motor,ka,6447,0.0256278770243518
Přísaha+Motor,us,16452,0.0653993846447397
Přísaha+Motor,li,9524,0.0378594541305921
Přísaha+Motor,kr,13930,0.0553740231036484
